n, statements
1, 7
2, 14
3, 21
4, 28
5, 33
6, 38
7, 53
8, 56
9, 59
10, 78
11, 101
12, 120
13, 141
14, 146
15, 157
16, 192
17, 223
18, 242
19, 257
20, 280
21, 309
22, 318
23, 355
24, 360
25, 385
26, 416
27, 421
28, 450
29, 495
30, 556
31, 601
32, 620
33, 651
34, 712
35, 775
36, 780
37, 801
38, 828
39, 837
40, 920
41, 983
42, 1042
43, 1113
44, 1158
45, 1195
46, 1206
47, 1209
48, 1280
49, 1341
50, 1432
51, 1463
52, 1474
53, 1535
54, 1592
55, 1633
56, 1746
57, 1841
58, 1922
59, 2033
60, 2096
61, 2217
62, 2306
63, 2425
64, 2486
65, 2561
66, 2580
67, 2695
68, 2712
69, 2779
70, 2898
71, 2951
72, 3056
73, 3173
74, 3260
75, 3307
76, 3396
77, 3429
78, 3564
79, 3625
80, 3662
81, 3683
82, 3704
83, 3753
84, 3870
85, 3907
86, 4052
87, 4073
88, 4168
89, 4347
90, 4488
91, 4575
92, 4678
93, 4769
94, 4868
95, 4999
96, 5048
97, 5223
98, 5374
99, 5473
100, 5540
101, 5713
102, 5814
103, 5943
104, 6132
105, 6303
106, 6474
107, 6681
108, 6732
109, 6847
110, 7070
111, 7257
112, 7400
113, 7527
114, 7622
115, 7751
116, 7870
117, 8079
118, 8230
119, 8347
120, 8454
121, 8481
122, 8500
123, 8591
124, 8804
125, 8939
126, 8978
127, 9065
128, 9288
129, 9327
130, 9500
131, 9757
132, 9896
133, 9909
134, 9990
135, 10029
136, 10252
137, 10461
138, 10662
139, 10815
140, 11000
141, 11121
142, 11298
143, 11543
144, 11680
145, 11803
146, 11974
147, 12149
148, 12364
149, 12451
150, 12722
151, 12739
152, 12796
153, 12919
154, 12934
155, 13139
156, 13282
157, 13335
158, 13520
159, 13699
160, 14006
161, 14059
162, 14116
163, 14391
164, 14678
165, 14975
166, 15080
167, 15299
168, 15464
169, 15561
170, 15632
171, 15849
172, 16074
173, 16121
174, 16416
175, 16439
176, 16458
177, 16647
178, 16818
179, 17011
180, 17252
181, 17429
182, 17564
183, 17669
184, 17876
185, 18227
186, 18504
187, 18619
188, 18740
189, 19093
190, 19144
191, 19149
192, 19524
193, 19807
194, 20190
195, 20269
196, 20634
197, 20783
198, 21042
199, 21235
200, 21418
201, 21697
202, 21846
203, 22185
204, 22204
205, 22441
206, 22680
207, 22723
208, 22832
209, 23053
210, 23076
211, 23089
212, 23488
213, 23639
214, 23676
215, 23807
216, 24172
217, 24455
218, 24890
219, 25201
220, 25290
221, 25339
222, 25406
223, 25537
224, 25634
225, 25773
226, 26158
227, 26345
228, 26624
229, 26897
230, 27246
231, 27293
232, 27604
233, 27681
234, 28094
235, 28375
236, 28704
237, 28895
238, 28976
239, 29081
240, 29402
241, 29553
242, 29564
243, 30031
244, 30050
245, 30303
246, 30478
247, 30971
248, 31178
249, 31479
250, 31814
251, 32113
252, 32250
253, 32343
254, 32820
255, 32867
256, 32970
257, 33251
258, 33360
259, 33699
260, 33816
261, 33957
262, 34158
263, 34565
264, 34980
265, 35013
266, 35260
267, 35335
268, 35674
269, 35717
270, 35760
271, 35771
272, 36246
273, 36351
274, 36580
275, 36605
276, 37024
277, 37343
278, 37852
279, 38079
280, 38428
281, 38947
282, 38966
283, 39339
284, 39880
285, 40279
286, 40640
287, 41009
288, 41406
289, 41663
290, 41752
291, 41815
292, 42316
293, 42701
294, 43254
295, 43377
296, 43582
297, 44151
298, 44572
299, 44805
300, 45086
301, 45167
302, 45394
303, 45501
304, 45630
305, 46087
306, 46560
307, 46689
308, 46848
309, 47207
310, 47706
311, 48101
312, 48176
313, 48237
314, 48464
315, 48877
316, 49512
317, 49677
318, 50024
319, 50185
320, 50558
321, 50603
322, 51032
323, 51409
324, 51434
325, 51815
326, 52032
327, 52531
328, 52576
329, 52771
330, 53356
331, 53801
332, 54120
333, 54253
334, 54470
335, 54719
336, 54920
337, 55191
338, 55396
339, 55511
340, 55666
341, 56247
342, 56262
343, 56599
344, 57276
345, 57431
346, 57568
347, 57717
348, 58384
349, 58999
350, 59174
351, 59511
352, 59904
353, 60233
354, 60844
355, 61403
356, 61522
357, 62131
358, 62760
359, 63265
360, 63666
361, 63685
362, 64308
363, 64555
364, 64996
365, 65495
366, 65728
367, 66047
368, 66360
369, 66967
370, 67162
371, 67245
372, 67578
373, 68019
374, 68034
375, 68395
376, 68578
377, 69205
378, 69438
379, 69627
380, 69826
381, 69933
382, 70474
383, 70621
384, 71016
385, 71173
386, 71284
387, 71763
388, 71794
389, 72333
390, 72806
391, 72949
392, 73688
393, 74079
394, 74726
395, 75429
396, 75452
397, 75679
398, 76172
399, 76293
400, 76684
401, 77351
402, 77678
403, 77717
404, 77998
405, 78571
406, 78742
407, 78869
408, 79302
409, 79757
410, 80576
411, 81163
412, 81614
413, 81833
414, 82108
415, 82897
416, 83264
417, 83803
418, 84236
419, 84939
420, 85746
421, 86503
422, 87144
423, 87579
424, 87746
425, 88561
426, 88568
427, 88913
428, 89198
429, 90041
430, 90836
431, 91239
432, 91456
433, 91903
434, 92384
435, 92689
436, 93170
437, 93825
438, 94188
439, 94657
440, 94860
441, 94921
442, 95098
443, 95613
444, 95874
445, 96445
446, 96786
447, 97499
448, 98320
449, 98341
450, 99042
451, 99623
452, 99900
453, 100567
454, 101158
455, 102055
456, 102764
457, 103049
458, 103288
459, 103335
460, 103542
461, 103959
462, 104336
463, 105143
464, 105604
465, 106515
466, 106618
467, 107363
468, 107444
469, 107709
470, 108544
471, 109309
472, 109816
473, 109917
474, 110020
475, 110547
476, 111218
477, 111505
478, 112430
479, 113085
480, 113182
481, 113651
482, 114218
483, 114429
484, 114700
485, 115639
486, 115950
487, 116657
488, 117534
489, 117885
490, 118594
491, 118955
492, 119266
493, 120231
494, 120238
495, 120887
496, 121846
497, 122375
498, 122488
499, 122863
500, 122936
501, 122991
502, 123600
503, 124573
504, 124830
505, 124937
506, 125762
507, 126099
508, 126398
509, 126813
510, 127452
511, 127997
512, 128330
513, 129001
514, 129018
515, 129711
516, 130406
517, 130769
518, 130970
519, 131967
520, 132504
521, 132899
522, 133942
523, 134963
524, 135232
525, 135359
526, 135816
527, 136299
528, 136472
529, 136875
530, 137052
531, 137791
532, 138448
533, 138561
534, 138938
535, 139903
536, 140784
537, 141669
538, 142250
539, 142303
540, 143346
541, 143921
542, 144460
543, 145127
544, 145296
545, 145977
546, 146226
547, 146857
548, 147594
549, 147977
550, 148026
551, 148407
552, 149262
553, 149545
554, 149804
555, 150861
556, 151506
557, 151803
558, 152580
559, 153429
560, 154004
561, 154369
562, 155408
563, 155555
564, 156048
565, 157021
566, 158068
567, 158251
568, 158450
569, 158729
570, 159866
571, 160239
572, 161186
573, 161759
574, 162344
575, 163441
576, 164572
577, 164797
578, 165082
579, 165445
580, 165670
581, 166269
582, 166564
583, 167223
584, 167914
585, 168251
586, 168386
587, 168449
588, 168606
589, 168821
590, 169312
591, 169977
592, 170380
593, 171423
594, 171680
595, 172055
596, 172434
597, 172913
598, 173554
599, 173895
600, 174350
601, 175427
602, 175782
603, 176511
604, 177340
605, 178421
606, 179204
607, 179403
608, 179984
609, 180765
610, 181424
611, 182511
612, 182950
613, 183889
614, 184672
615, 185465
616, 185854
617, 186077
618, 187074
619, 188289
620, 189166
621, 189261
622, 190004
623, 190859
624, 191036
625, 191375
626, 192152
627, 192875
628, 193654
629, 194387
630, 195564
631, 195675
632, 196732
633, 197425
634, 198370
635, 199425
636, 200208
637, 200999
638, 202060
639, 203331
640, 203764
641, 204447
642, 205676
643, 206473
644, 206920
645, 207077
646, 207570
647, 207699
648, 208510
649, 208683
650, 209678
651, 210427
652, 210756
653, 211423
654, 212332
655, 213151
656, 213188
657, 214297
658, 215308
659, 216395
660, 217074
661, 217941
662, 218578
663, 219643
664, 220692
665, 221963
666, 222890
667, 223535
668, 223986
669, 224609
670, 224702
671, 224735
672, 225912
673, 226325
674, 227552
675, 228757
676, 229942
677, 230415
678, 231538
679, 232241
680, 233378
681, 233731
682, 234440
683, 234633
684, 235040
685, 236143
686, 236808
687, 236917
688, 237866
689, 237917
690, 238782
691, 238905
692, 239272
693, 240007
694, 240586
695, 241087
696, 241952
697, 243067
698, 244104
699, 245067
700, 245728
701, 245847
702, 247188
703, 247997
704, 248442
705, 249609
706, 250798
707, 251647
708, 251784
709, 252739
710, 253646
711, 254525
712, 255150
713, 255285
714, 255616
715, 256161
716, 257374
717, 257651
718, 258390
719, 258499
720, 258640
721, 259811
722, 260872
723, 261441
724, 262436
725, 263883
726, 264014
727, 264037
728, 264206
729, 265387
730, 266042
731, 267487
732, 267906
733, 268461
734, 269918
735, 270351
736, 271774
737, 272339
738, 273284
739, 273463
740, 274870
741, 276325
742, 277322
743, 277733
744, 278076
745, 278199
746, 278690
747, 279041
748, 280126
749, 280149
750, 280238
751, 280261
752, 280846
753, 281767
754, 283086
755, 283847
756, 284570
757, 284989
758, 285606
759, 286929
760, 287572
761, 287767
762, 288962
763, 289321
764, 289664
765, 290243
766, 291362
767, 291779
768, 292024
769, 293123
770, 294476
771, 295039
772, 295450
773, 296781
774, 297374
775, 297453
776, 298388
777, 299685
778, 299700
779, 300981
780, 301232
781, 302107
782, 302884
783, 303185
784, 303196
785, 303803
786, 305020
787, 305511
788, 305996
789, 307461
790, 308322
791, 309375
792, 310728
793, 311247
794, 311490
795, 312643
796, 313676
797, 315235
798, 316602
799, 318077
800, 319170
801, 320391
802, 321982
803, 322157
804, 322808
805, 324353
806, 325772
807, 326937
808, 327390
809, 328881
810, 329558
811, 329683
812, 329856
813, 330115
814, 331688
815, 332829
816, 333552
817, 334891
818, 335416
819, 336077
820, 337598
821, 337693
822, 338300
823, 339765
824, 340274
825, 341119
826, 342688
827, 343469
828, 344106
829, 344305
830, 344680
831, 346315
832, 347766
833, 347839
834, 348230
835, 348587
836, 349128
837, 349649
838, 350708
839, 351535
840, 351648
841, 352491
842, 353236
843, 354891
844, 355434
845, 356939
846, 358090
847, 358643
848, 359516
849, 359809
850, 360448
851, 361507
852, 361864
853, 363207
854, 363878
855, 363967
856, 364724
857, 365835
858, 366686
859, 367877
860, 369440
861, 369465
862, 369556
863, 371025
864, 372220
865, 372929
866, 374324
867, 375023
868, 375542
869, 377257
870, 378120
871, 378807
872, 380166
873, 381799
874, 382416
875, 383109
876, 383486
877, 384213
878, 385106
879, 386637
880, 387376
881, 388419
882, 390004
883, 391047
884, 392566
885, 393545
886, 393616
887, 393845
888, 395072
889, 396677
890, 397678
891, 397857
892, 399506
893, 400101
894, 401060
895, 401379
896, 402198
897, 402957
898, 404682
899, 406447
900, 406456
901, 407019
902, 407764
903, 407907
904, 409024
905, 410457
906, 411134
907, 411153
908, 412650
909, 413775
910, 414788
911, 415845
912, 417094
913, 417423
914, 418594
915, 419383
916, 420608
917, 420805
918, 422338
919, 423799
920, 424968
921, 426053
922, 427744
923, 429295
924, 429398
925, 429943
926, 431592
927, 432213
928, 433150
929, 434131
930, 435476
931, 435617
932, 436298
933, 437023
934, 438208
935, 439303
936, 439356
937, 440099
938, 440184
939, 440261
940, 440958
941, 441157
942, 441768
943, 443041
944, 443344
945, 444753
946, 446214
947, 446657
948, 447416
949, 448633
950, 449484
951, 450349
952, 450832
953, 451015
954, 452046
955, 453007
956, 454096
957, 455497
