n, statements
1, 7024
2, 10171
3, 15121
4, 16532
5, 19538
6, 27170
7, 29041
8, 34813
9, 38755
10, 40412
11, 47145
12, 53795
13, 55637
14, 63669
15, 69659
16, 76147
17, 82029
18, 89904
19, 90945
20, 96634
21, 103637
22, 112912
23, 116910
24, 126371
25, 134908
26, 139551
27, 144097
28, 148482
29, 153301
30, 153549
31, 156412
32, 159655
33, 165114
34, 172926
35, 180908
36, 181578
37, 185848
38, 188717
39, 191665
40, 200841
41, 209288
42, 215262
43, 221250
44, 229066
45, 236388
46, 241392
47, 245675
48, 251867
49, 252248
50, 258095
51, 259293
52, 265787
53, 274135
54, 280431
55, 283010
56, 287836
57, 297467
58, 306299
59, 313285
60, 322752
61, 323762
62, 327866
63, 332344
64, 341036
65, 346627
66, 352823
67, 354150
68, 357353
69, 361549
70, 362459
71, 372386
72, 375880
73, 376356
74, 380123
75, 386080
76, 387916
77, 389667
78, 398632
79, 398847
80, 408261
81, 414269
82, 415563
83, 419033
84, 422941
85, 431685
86, 437488
87, 441850
88, 442512
89, 444100
90, 444905
91, 453370
92, 454759
93, 462143
94, 470450
95, 471563
96, 476566
97, 482922
98, 486567
99, 491678
100, 500202
101, 504809
102, 507781
103, 515140
104, 521322
105, 524478
106, 529185
107, 535869
108, 537079
109, 539021
110, 540161
111, 542627
112, 545957
113, 549926
114, 553998
115, 562912
116, 566017
117, 568258
118, 575985
119, 581540
120, 591370
121, 591934
122, 598272
123, 603262
124, 605693
125, 613901
126, 614442
127, 620097
128, 628546
129, 636420
130, 641816
131, 650538
132, 655683
133, 658161
134, 658484
135, 664360
136, 669631
137, 676578
138, 684480
139, 688257
140, 691216
141, 691818
142, 695269
143, 698682
144, 703995
145, 709998
146, 713128
147, 714470
148, 722373
149, 725915
150, 726337
151, 733724
152, 736353
153, 739953
154, 744825
155, 749146
156, 749923
157, 753045
158, 754863
159, 758518
160, 763476
161, 763718
162, 770114
163, 772625
164, 779343
165, 782130
166, 782181
167, 791163
168, 799495
169, 806155
170, 808461
171, 816695
172, 817658
173, 818842
174, 827877
175, 836729
176, 845231
177, 846927
178, 848245
179, 852474
180, 857618
181, 867037
182, 867702
183, 874131
184, 876880
185, 885996
186, 887609
187, 896749
188, 900114
189, 901378
190, 910020
191, 917081
192, 921133
193, 925485
194, 929911
195, 933286
196, 936181
197, 940799
198, 948225
199, 954588
200, 959106
201, 962601
202, 965761
203, 966440
204, 974178
205, 976311
206, 978607
207, 987286
208, 996847
209, 1001760
210, 1003533
211, 1005160
212, 1010739
213, 1015457
214, 1024720
215, 1025475
216, 1032028
217, 1038696
218, 1039864
